Primary_Commun_Platform,"Comm_Platform_Satisfaction(1-Yes, 0-No)",Pref_Live_Lectures,Pref_Audio_Lectures,Pref_Recorded_Content,Pref_PowerPoint_presentation,Pref_Interactive_Sessions,Pref_ContentDelivery_mode,PercentileAbleTo_Score,Question_Difficulty,Curr_ContentDelivery_Mode,Curr_Live_Lectures,Curr_Audio_Lectures,Curr_Recorded_Content,Curr_PowerPoint_presentation,Curr_Interactive_Sessions,"PlatformAccessEase(1-Easy,  2-Medium, 3-Hard)",platform_UI_intuitive _easy-to-use,E-Learning_feature_incorporate,THA,PracticeExercises,ReadingMaterials,QuizSolutions,TextBooks,Research Papers,Materials_provision_Platform,Tests_Assignments_in_course,Result_Show_Time,AvgDur_Tests,WeeklyHours_Browse_Platform,Portal_Login_Freq,CourseProgress_Satisfaction
Whatsapp,1,0,0,0,1,0,PowerPoint presentation,78,2,PowerPoint Presentation,1,0,1,1,0,2,1,1,1,0,0,0,0,0,THA(Take-Home Assignments),20,72,30,6,3,1
Mail,0,0,0,1,1,0,"Recorded Content, PowerPoint presentation",40,3,Live Lectures,1,0,1,1,0,1,1,0,1,1,0,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Quiz Solutions",20,72,30,1,2,0
Mail,0,1,0,1,0,0,"Live Lectures, Recorded Content",50,2,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,4,1
Mail,0,1,0,0,0,0,Live Lectures,30,3,Live Lectures,1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,1
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",70,2,"Live Lectures, Recorded Content",1,0,1,1,0,1,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions, Textbooks",20,72,30,2,1,1
Mail,0,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",40,3,"Recorded Content, PowerPoint Presentation, Interactive Sessions",1,0,1,1,0,3,0,1,1,1,1,1,1,1,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks, Research Papers",20,72,30,3,2,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",2,1,"Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks",20,72,30,4,3,1
Whatsapp,0,0,0,1,0,0,Recorded Content,70,2,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,0,0,0,0,"THA(Take-Home Assignments), Practice Exercises",20,72,30,5,3,0
Slack,0,1,1,0,0,0,"Live Lectures, Audio  Lectures",70,2,Live Lectures,1,0,1,1,0,2,0.5,1,0,1,1,0,0,0,"Practice Exercises, Reading Materials",20,72,30,7,2,0
Whatsapp,0.5,1,0,0,0,0,Live Lectures,80,2,Live Lectures,1,0,1,1,0,2,1,0,0,1,0,0,0,0,Practice Exercises,20,72,30,10,3,1
Mail,0,0,0,1,0,0,Recorded Content,60,2,Live Lectures,1,0,1,1,0,3,0,1,1,0,1,0,0,0,"THA(Take-Home Assignments), Reading Materials",20,72,30,1,0,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",40,1,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,4,2,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",80,3,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,3,1,1,1,0,1,1,1,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions, Textbooks",20,72,30,10,10,0
Whatsapp,0.5,1,0,0,0,0,Live Lectures,80,2,Live Lectures,1,0,1,1,0,2,1,0,0,1,0,0,0,0,Practice Exercises,20,72,30,10,3,1
Mail,0.5,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",45,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,0,1,1,0,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions",20,72,30,4,3,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",50,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,0,0,0,0,0,THA(Take-Home Assignments),20,72,30,10,4,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",70,2,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,0,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Quiz Solutions",20,72,30,10,2,1
Mail,0.5,0,0,1,1,0,"Recorded Content, PowerPoint presentation",20,2,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,0,0,0,0,"THA(Take-Home Assignments), Practice Exercises",20,72,30,2,2,0
Mail,0.5,0,0,1,0,0,Recorded Content,60,2,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks",20,72,30,1,1,1
Mail,1,0,0,1,0,0,Recorded Content,70,3,"Live Lectures, Recorded Content",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,0
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",30,3,Live Lectures,1,0,1,1,0,2,1,1,1,0,0,0,0,0,THA(Take-Home Assignments),20,72,30,6,1,0
Whatsapp,1,1,0,0,0,0,Live Lectures,80,2,Audio Lectures,1,0,1,1,0,1,1,1,0,1,0,0,0,0,Practice Exercises,20,72,30,6,6,1
Whatsapp,1,1,0,0,0,0,Live Lectures,70,2,Audio Lectures,1,0,1,1,0,1,1,1,0,0,1,0,0,0,Reading Materials,20,72,30,4,3,1
Mail,0.5,0,0,1,0,0,Recorded Content,60,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0.5,1,1,1,1,1,1,1,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks, Research Papers",20,72,30,9,9,0
Mail,1,0,1,1,1,0,"Audio  Lectures, Recorded Content, PowerPoint presentation",50,2,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,2,1,1,1,0,1,0,0,0,"THA(Take-Home Assignments), Reading Materials",20,72,30,5,1,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",50,3,"Live Lectures, Recorded Content",1,0,1,1,0,1,1,0,1,1,0,0,0,0,"THA(Take-Home Assignments), Practice Exercises",20,72,30,5,1,1
Mail,0.5,0,0,1,0,0,Recorded Content,50,3,Others,1,0,1,1,0,2,1,-1,1,0,1,1,0,1,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions, Research Papers",20,72,30,7,8,0
None,1,0,0,1,0,0,Recorded Content,70,2,PowerPoint Presentation,1,0,1,1,0,1,1,0,0,0,1,1,1,0,"Reading Materials, Quiz Solutions, Textbooks",20,72,30,10,2,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",50,2,"Live Lectures, PowerPoint Presentation, Interactive Sessions",1,0,1,1,0,2,1,0,1,1,1,1,1,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions, Textbooks",20,72,30,4,3,0
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",60,3,"Live Lectures, PowerPoint Presentation",1,0,1,1,0,2,1,1,1,0,0,1,0,0,"THA(Take-Home Assignments), Quiz Solutions",20,72,30,5,5,1
Mail,0,1,0,1,0,1,"Live Lectures, Recorded Content, Interactive Sessions",40,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,0,1,1,0,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions",20,72,30,2,3,0
Mail,1,1,0,1,0,1,"Live Lectures, Recorded Content, Interactive Sessions",34,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,0,0,0,1,1,0,"Recorded Content, PowerPoint presentation",45,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,3,0
Mail,1,0,0,1,0,1,"Recorded Content, Interactive Sessions",20,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,0
Mail,0,0,0,1,1,,"Recorded Content, PowerPoint presentation",50,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,2,0
Mail,1,1,1,1,1,1,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",40,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,0,0,0,0,0,1,Interactive Sessions,25,2,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
Mail,0.5,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",45,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,1,0
Mail,1,1,1,0,1,1,"Live Lectures, Audio  Lectures, PowerPoint presentation, Interactive Sessions",65,2,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation, Interactive Sessions",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,4,3,1
Mail,0.5,1,0,1,1,1,"Live Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",50,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
None,0.5,1,0,0,0,0,Live Lectures,30,1,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,0,1,1,0,0,"THA(Take-Home Assignments), Reading Materials, Quiz Solutions",20,72,30,1,3,0
Mail,1,0,0,0,0,1,Interactive Sessions,30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,1,1,1,1,1,1,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",40,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
Mail,0,0,0,0,0,1,Interactive Sessions,38,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,3,0
Mail,0.5,1,1,1,0,1,"Live Lectures, Audio  Lectures, Recorded Content, Interactive Sessions",28,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,0,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",58,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,3,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",60,2,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,-1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,4,5,0
Mail,0,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",56,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
None,0.5,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0.5,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
Mail,1,0,0,0,0,1,Interactive Sessions,30,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
Mail,1,1,1,1,1,1,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",40,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,3,0
Mail,1,1,0,0,0,0,Live Lectures,45,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,0,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Quiz Solutions",20,72,30,1,3,0
Mail,0,1,0,1,0,0,"Live Lectures, Recorded Content",35,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,2,0
Mail,1,1,0,1,1,1,"Live Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,1,1,1,1,1,1,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",28,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,2,0
Mail,1,1,1,0,1,0,"Live Lectures, Audio  Lectures, PowerPoint presentation",35,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,3,0
Mail,1,1,0,1,1,1,"Live Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,4,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,3,0
Mail,1,0,0,1,0,1,"Recorded Content, Interactive Sessions",32,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,0,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",30,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,0
Mail,0.5,0,0,1,1,0,"Recorded Content, PowerPoint presentation",32,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,1,0
Mail,1,1,0,1,1,0,"Live Lectures, Recorded Content, PowerPoint presentation",28,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,2,0
Mail,1,1,1,1,1,0,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation",35,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,1,0
Mail,1,0,0,1,0,0,Recorded Content,60,2,Live Lectures,1,0,1,1,0,1,1,0,1,0,1,0,0,0,"THA(Take-Home Assignments), Reading Materials",20,72,30,7,2,1
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",32,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,0,-1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Quiz Solutions",20,72,30,1,2,0
Mail,0,1,1,1,0,0,"Live Lectures, Audio  Lectures, Recorded Content",38,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,4,0
Mail,1,1,1,1,1,0,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation",40,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,3,0
Mail,0.5,0,0,1,1,1,"Recorded Content, PowerPoint presentation, Interactive Sessions",38,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,3,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,3,0
Mail,1,1,0,1,0,0,"Live Lectures, Recorded Content",48,3,"Live Lectures, Audio Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,1,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,2,3,0
None,0,1,1,1,1,1,"Live Lectures, Audio  Lectures, Recorded Content, PowerPoint presentation, Interactive Sessions",34,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,4,4,0
Mail,1,0,0,1,0,1,"Recorded Content, Interactive Sessions",60,2,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,0.5,1,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,3,4,0
Mail,1,0,0,1,1,0,"Recorded Content, PowerPoint presentation",30,3,"Live Lectures, Recorded Content, PowerPoint Presentation",1,0,1,1,0,2,1,0,1,1,1,1,0,0,"THA(Take-Home Assignments), Practice Exercises, Reading Materials, Quiz Solutions",20,72,30,1,2,0
